,mallName,lat,long
0,100 AM,1.27458821795426,103.84347073661
1,313@Somerset,1.30101436404056,103.838360664485
2,Aperia,1.31086672816827,103.863929573292
3,Balestier Hill Shopping Centre,1.32559594839311,103.842571612968
4,Bugis Cube,1.2981408343975,103.855635339249
5,Bugis Junction,1.2991371723215,103.855450325604
6,Bugis+,1.30095171530648,103.855172625542
7,Capitol Piazza,1.29307884763132,103.851261982149
8,Cathay Cineleisure Orchard,1.30149264852924,103.836406753067
10,The Centrepoint,1.30197836876806,103.839759023144
11,City Square Mall,1.31135169933195,103.856724057693
13,CityLink Mall,1.2927777312893,103.854173501417
14,Duo,1.29953434891664,103.85840168774
15,Far East Plaza,1.30717698071189,103.833792932243
16,Funan,1.29134759697794,103.849989790085
17,Great World City,1.2934759620704,103.831975865363
18,HDB Hub,1.33201387005935,103.84984949662
20,ION Orchard,1.30397974144505,103.832032328465
21,Junction 8,1.3501820033849,103.848515664081
22,Knightsbridge,1.3029831225958,103.836283923443
23,Liat Towers,1.30508722710852,103.830722581168
24,Lucky Plaza,1.30448579105197,103.833941935117
25,Marina Bay Sands,1.28346618479588,103.860603437294
26,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
27,Marina Bay Link Mall,1.28019533269189,103.854207695749
28,Marina Square,1.29098168416984,103.857647591675
29,Millenia Walk,1.29267926922552,103.860302888543
31,Ngee Ann City,1.3022727300848,103.834899517575
32,One Holland Village,1.3123621720005,103.793301226982
33,Orchard Central,1.30083890839245,103.839434733899
34,Orchard Gateway,1.30160116957544,103.838868886519
35,Orchard Plaza,1.30125729409965,103.841150144584
36,Midpoint Orchard,1.30177313264942,103.838659652851
37,Palais Renaissance,1.30665484543191,103.829588045188
38,People's Park Centre,1.28580583517057,103.844032214205
39,People's Park Complex,1.28404487854559,103.842590753293
40,Plaza Singapura,1.30083413030923,103.845072743164
42,Raffles City,1.29408304748297,103.853339531257
43,Scotts Square,1.30585582603508,103.832984356543
45,Sim Lim Square,1.30290658774258,103.853031869482
46,Singapore Shopping Centre,1.28649701803051,103.844628721032
47,The South Beach,1.29498804392056,103.856276242094
48,Square 2,1.27822949964567,103.850812513482
49,Sunshine Plaza,1.30046735366415,103.850556061949
50,Suntec City,1.29350132535558,103.857307495824
51,Tanglin Mall,1.30485342102105,103.823883490852
52,Tanjong Pagar Centre,1.2755961982077,103.842393171342
53,Tekka Centre,1.30671098278725,103.85013440636
54,The Adelphi,1.29118503658447,103.851184338699
55,The Paragon,1.30375855987932,103.835240308481
56,Tiong Bahru Plaza,1.28633177192832,103.827550771424
57,The Poiz,1.33202729656296,103.868659488195
58,Thomson Plaza,1.35436282723449,103.83030941613
59,United Square,1.31724362960663,103.844003130499
60,Thomson V,1.35319495337208,103.835564729862
61,Velocity@Novena Square,1.31978949204523,103.844033569199
62,Wheelock Place,1.30467628730252,103.830642027577
63,Wisma Atria,1.30368769989282,103.833203583562
64,Zhongshan Mall,1.32694504484324,103.846554377679
65,Bedok Mall,1.32475054237912,103.92918919889
66,Century Square,1.35227804040128,103.943727694121
67,Changi City Point,1.33408363820793,103.962946043413
68,Downtown East,1.37595122154029,103.955598940037
69,Djitsun Mall Bedok,1.32611970329469,103.929554495615
70,Eastpoint Mall,1.34269199750599,103.953050756306
71,Jewel Changi Airport,1.36006289399606,103.989989170512
73,Katong Shopping Centre,1.30382040183737,103.901040040407
74,Katong Square,1.30477683917233,103.904617722414
75,Kallang Wave Mall,1.30307515150401,103.873149707591
76,Leisure Park Kallang,1.30230108405227,103.876473975883
77,i12 Katong,1.30522306203042,103.905043928938
78,Our Tampines Hub,1.35218046898785,103.940598001519
79,Parkway Parade,1.30106068019409,103.905339493587
80,Pasir Ris West Plaza,1.37969802061042,103.936270775161
81,Paya Lebar Square,1.31881486980278,103.892580778242
83,Roxy Square,1.30432599904899,103.904051120306
84,Singpost Centre,1.36916586878086,103.909691774237
85,Tampines 1,1.34633535808984,103.933979581362
86,Tampines Mall,1.35259361362837,103.944785968039
87,White Sands,1.37228761596577,103.949733905672
88,City Plaza,1.31495729651441,103.893400329225
89,Elias Mall,1.37790533095468,103.94233582068
90,Loyang Point,1.36645364037722,103.964598499523
91,888 Plaza,1.43712301500434,103.795314383823
92,Admiralty Place,1.43998366608733,103.801293104268
93,AMK Hub,1.36919317898919,103.848464775629
94,Canberra Plaza,1.44349544527985,103.830345369213
95,Causeway Point,1.43600784474269,103.78568873405
96,Woodlands Civic Centre,1.43515024446739,103.786816106255
97,Broadway Plaza,1.37193729131781,103.845949444498
98,Jubilee Square,1.37178558575829,103.847837565378
99,Junction 8,1.3501820033849,103.848515664081
100,Junction Nine,1.4331228398318,103.84166098599
101,Marsiling Mall,1.43354318137534,103.77988189197
102,Northpoint City,1.42790288991304,103.836177650973
103,Sembawang Shopping Centre,1.44185307934021,103.824970378482
104,Sun Plaza,1.44819436804175,103.819464386349
105,Vista Point,1.4308011390122,103.794104795966
106,Wisteria Mall,1.41798969122298,103.841317292608
107,Woodlands Mart,1.44564787003157,103.798162285805
108,Woodlands North Plaza,1.44283592110679,103.790770766025
109,Buangkok Square,1.38433426615655,103.881623070164
110,Compass One,1.39205314156706,103.89507054384
111,Greenwich V,1.38736769500018,103.869348049282
112,Heartland Mall,1.35954177325561,103.885167372726
113,Hougang 1,1.35664284566921,103.889828868222
114,Hougang Green Shopping Mall,1.3792452907016,103.887832017102
115,Hougang Mall,1.37248308734511,103.893788141349
116,NEX,1.35076935257845,103.872296143862
117,Northshore Plaza,1.41676127156324,103.902074379502
118,Oasis Terraces,1.40278015725693,103.913215101343
119,Punggol Plaza,1.39425629780831,103.913043510411
120,Rivervale Mall,1.39221732695142,103.904473070943
121,Rivervale Plaza,1.38550420775531,103.901988424927
122,Sengkang Grand Mall,1.38318916340582,103.892377573338
123,The Seletar Mall,1.39147015374628,103.876125507257
124,Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
125,Waterway Point,1.4064128346795,103.902188891645
126,myVillage At Serangoon Garden,1.36511490572797,103.865159501442
127,Beauty World Centre,1.34241264188642,103.776539385406
128,Beauty World Plaza,1.34180018619223,103.776259359854
129,Bukit Panjang Plaza,1.38052239451717,103.764051414862
130,Bukit Timah Plaza,1.3386316527745,103.778585430975
131,Fajar Shopping Centre,1.38357469942896,103.770868459633
132,Greenridge Shopping Centre,1.38529556526689,103.766170530147
133,Hillion Mall,1.37843100827586,103.762842789877
134,HillV2,1.36267450828024,103.76417292006
135,Junction 10,1.38018163022688,103.76041930548
136,Keat Hong Shopping Centre,1.37736607441394,103.744393648768
137,Limbang Shopping Centre,1.3920738867617,103.743099573442
138,Lot One,1.38506992325619,103.745238868238
139,Rail Mall,1.35773050150178,103.768137724847
140,Sunshine Place,1.37789727709418,103.739015486021
141,Teck Whye Shopping Centre,1.38004752975397,103.752483841199
142,West Mall,1.35009714832628,103.74921385957
143,Yew Tee Point,1.39708432396576,103.746598000147
144,Yew Tee Square,1.39836942665376,103.747188486453
145,VivoCity,1.26429316783973,103.82230469365
146,HarbourFront Centre,1.26393160324447,103.820112171695
147,Alexandra Retail Centre,1.27362182739596,103.801278893189
148,321 Clementi,1.31200212030821,103.764986676365
149,The Clementi Mall,1.31489619639366,103.764423054189
150,IMM,1.33487526118006,103.746894773008
152,Jem,1.33329334473462,103.743278742341
153,Westgate,1.33415767556867,103.742766484424
154,Jurong Point,1.33945200436319,103.706685012654
155,Pioneer Mall,1.34167331883255,103.697244542805
156,The Star Vista,1.30681500712523,103.788462732266
157,Alexandra Central,1.28728320930592,103.805283367958
158,Anchorpoint,1.28893477974497,103.805607779399
160,Boon Lay Shopping Centre,1.34637376407877,103.712472819666
161,Grantral Mall,1.31427043922294,103.765147487482
162,Fairprice Hub,1.32561767765205,103.678409741897
163,Gek Poh Shopping Centre,1.3487416466288,103.697739629738
164,Rochester Mall,1.30540765569962,103.788446680148
165,Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
166,West Coast Plaza,1.30381811396596,103.766266410545
167,Queensway Shopping Centre,1.28761792586115,103.803391140455
168,The Rail Mall,1.35773050150178,103.768137724847
